Путь;Имя файла;№ поля;Имя поля;Тип;Тип (расшифровка);Длина;Знаков после запятой;Флаги
ARXIV/INVEN/inv/MULK2.DBF;MULK2.DBF;4;KITABT;C;символьный;10;0;
ARXIV/INVEN/inv/MULK2.DBF;MULK2.DBF;5;SAHIFAT;C;символьный;10;0;
ARXIV/INVEN/inv/MULK2.DBF;MULK2.DBF;6;RAYON;C;символьный;10;0;
ARXIV/INVEN/inv/MULK2.DBF;MULK2.DBF;7;DATA;D;дата;8;0;
ARXIV/INVEN/inv/MULK2.DBF;MULK2.DBF;8;TIPM;C;символьный;20;0;
ARXIV/INVEN/inv/MULK2.DBF;MULK2.DBF;9;QIYM;N;числовой;12;0;
ARXIV/INVEN/inv/MULK2.DBF;MULK2.DBF;10;ORDER;C;символьный;12;0;
ARXIV/INVEN/inv/MULK2.DBF;MULK2.DBF;11;SARAN;C;символьный;12;0;
ARXIV/INVEN/inv/MULK2.DBF;MULK2.DBF;12;FIO;C;символьный;35;0;
ARXIV/INVEN/inv/MULK2.DBF;MULK2.DBF;13;DATAR;D;дата;8;0;
ARXIV/INVEN/inv/MULK2.DBF;MULK2.DBF;14;ADRES;C;символьный;45;0;
ARXIV/INVEN/inv/MULK2.DBF;MULK2.DBF;15;NAZAR;N;числовой;1;0;
ARXIV/INVEN/inv/MULK2.DBF;MULK2.DBF;16;OZAL;N;числовой;1;0;
ARXIV/INVEN/inv/MULK2.DBF;MULK2.DBF;17;ASASOZ;C;символьный;10;0;
ARXIV/INVEN/inv/MULK2.DBF;MULK2.DBF;18;DATAOZ;D;дата;8;0;
ARXIV/INVEN/inv/MULK2.DBF;MULK2.DBF;19;OTAG;N;числовой;2;0;
ARXIV/INVEN/inv/MULK2.DBF;MULK2.DBF;20;PLOS;N;числовой;7;2;
ARXIV/INVEN/inv/MULK2.DBF;MULK2.DBF;21;PLUM;N;числовой;7;2;
ARXIV/INVEN/inv/MULK2.DBF;MULK2.DBF;22;PLTR;N;числовой;8;2;
ARXIV/INVEN/inv/MULK2.DBF;MULK2.DBF;23;KIMN;C;символьный;15;0;
ARXIV/INVEN/inv/MULK2.DBF;MULK2.DBF;24;ASAS;C;символьный;10;0;
ARXIV/INVEN/inv/MULK2.DBF;MULK2.DBF;25;DATAN;D;дата;8;0;
ARXIV/INVEN/inv/MULK2.DBF;MULK2.DBF;26;IDAR;C;символьный;20;0;
ARXIV/INVEN/inv/MULK2.DBF;MULK2.DBF;27;DATAL;D;дата;8;0;
ARXIV/INVEN/inv/MULK2.DBF;MULK2.DBF;28;ALNOV;C;символьный;20;0;
ARXIV/INVEN/inv/MULK2.DBF;MULK2.DBF;29;DATAF;D;дата;8;0;
ARXIV/INVEN/inv/MULK2.DBF;MULK2.DBF;30;TEX1;N;числовой;2;0;
ARXIV/INVEN/inv/MULK2.DBF;MULK2.DBF;31;TEX2;N;числовой;6;0;
ARXIV/INVEN/inv/MULK2.DBF;MULK2.DBF;32;DATAT;D;дата;8;0;
ARXIV/INVEN/inv/MULK2.DBF;MULK2.DBF;33;DTIK;N;числовой;4;0;
ARXIV/INVEN/inv/MULK2.DBF;MULK2.DBF;34;TAR;N;числовой;1;0;
ARXIV/INVEN/inv/MULKB.DBF;MULKB.DBF;1;NOMKV;N;числовой;10;0;
ARXIV/INVEN/inv/MULKB.DBF;MULKB.DBF;2;KITAB;C;символьный;10;0;
ARXIV/INVEN/inv/MULKB.DBF;MULKB.DBF;3;SAHIFA;C;символьный;10;0;
ARXIV/INVEN/inv/MULKB.DBF;MULKB.DBF;4;KITABT;C;символьный;10;0;
ARXIV/INVEN/inv/MULKB.DBF;MULKB.DBF;5;SAHIFAT;C;символьный;10;0;
ARXIV/INVEN/inv/MULKB.DBF;MULKB.DBF;6;RAYON;C;символьный;10;0;
ARXIV/INVEN/inv/MULKB.DBF;MULKB.DBF;7;DATA;D;дата;8;0;
ARXIV/INVEN/inv/MULKB.DBF;MULKB.DBF;8;TIPM;C;символьный;20;0;
ARXIV/INVEN/inv/MULKB.DBF;MULKB.DBF;9;QIYM;N;числовой;12;0;
ARXIV/INVEN/inv/MULKB.DBF;MULKB.DBF;10;ORDER;C;символьный;12;0;
ARXIV/INVEN/inv/MULKB.DBF;MULKB.DBF;11;SARAN;C;символьный;12;0;
ARXIV/INVEN/inv/MULKB.DBF;MULKB.DBF;12;FIO;C;символьный;35;0;
ARXIV/INVEN/inv/MULKB.DBF;MULKB.DBF;13;ADRES;C;символьный;45;0;
ARXIV/INVEN/inv/MULKB.DBF;MULKB.DBF;14;NAZAR;N;числовой;6;0;
ARXIV/INVEN/inv/MULKB.DBF;MULKB.DBF;15;OZAL;N;числовой;6;0;
ARXIV/INVEN/inv/MULKB.DBF;MULKB.DBF;16;ASASOZ;C;символьный;10;0;
ARXIV/INVEN/inv/MULKB.DBF;MULKB.DBF;17;DATAOZ;D;дата;8;0;
ARXIV/INVEN/inv/MULKB.DBF;MULKB.DBF;18;OTAG;N;числовой;6;0;
ARXIV/INVEN/inv/MULKB.DBF;MULKB.DBF;19;PLOS;N;числовой;7;2;
ARXIV/INVEN/inv/MULKB.DBF;MULKB.DBF;20;PLUM;N;числовой;7;2;
ARXIV/INVEN/inv/MULKB.DBF;MULKB.DBF;21;PLTR;N;числовой;8;2;
ARXIV/INVEN/inv/MULKB.DBF;MULKB.DBF;22;KIMN;C;символьный;15;0;
ARXIV/INVEN/inv/MULKB.DBF;MULKB.DBF;23;ASAS;C;символьный;10;0;
ARXIV/INVEN/inv/MULKB.DBF;MULKB.DBF;24;DATAN;D;дата;8;0;
ARXIV/INVEN/inv/MULKB.DBF;MULKB.DBF;25;IDAR;C;символьный;20;0;
ARXIV/INVEN/inv/MULKB.DBF;MULKB.DBF;26;DATAL;D;дата;8;0;
ARXIV/INVEN/inv/MULKB.DBF;MULKB.DBF;27;ALNOV;C;символьный;20;0;
ARXIV/INVEN/inv/MULKB.DBF;MULKB.DBF;28;DATAF;D;дата;8;0;
ARXIV/INVEN/inv/MULKB.DBF;MULKB.DBF;29;TEX1;N;числовой;2;0;
ARXIV/INVEN/inv/MULKB.DBF;MULKB.DBF;30;TEX2;N;числовой;6;0;
ARXIV/INVEN/inv/MULKB.DBF;MULKB.DBF;31;DATAT;D;дата;8;0;
ARXIV/INVEN/inv/MULKB.DBF;MULKB.DBF;32;DTIK;N;числовой;6;0;
ARXIV/INVEN/inv/MULKB.DBF;MULKB.DBF;33;DATAR;D;дата;8;0;
ARXIV/INVEN/inv/MULKN.DBF;MULKN.DBF;1;AD;C;символьный;20;0;
ARXIV/INVEN/inv/NOV.DBF;NOV.DBF;1;AD;C;символьный;25;0;
ARXIV/INVEN/inv/RAYON.DBF;RAYON.DBF;1;AD;C;символьный;15;0;
ARXIV/INVEN/inv/SVADRES.DBF;SVADRES.DBF;1;NOMER;N;числовой;10;0;
ARXIV/INVEN/inv/SVADRES.DBF;SVADRES.DBF;2;ADRES;C;символьный;45;0;
ARXIV/INVEN/inv/TARIX2.DBF;TARIX2.DBF;1;NOMKV;N;числовой;10;0;
ARXIV/INVEN/inv/TARIX2.DBF;TARIX2.DBF;2;DATAP;D;дата;8;0;
ARXIV/INVEN/inv/TARIX2.DBF;TARIX2.DBF;3;FIO;C;символьный;35;0;
ARXIV/INVEN/inv/TARIX2.DBF;TARIX2.DBF;4;DATAR;D;дата;8;0;
ARXIV/INVEN/inv/TARIX2.DBF;TARIX2.DBF;5;NAZAR;N;числовой;1;0;
ARXIV/INVEN/inv/TARIX2.DBF;TARIX2.DBF;6;KIMN;C;символьный;15;0;
ARXIV/INVEN/inv/TARIX2.DBF;TARIX2.DBF;7;ASAS;C;символьный;10;0;
ARXIV/INVEN/inv/TARIX2.DBF;TARIX2.DBF;8;ALNOV;C;символьный;20;0;
ARXIV/INVEN/inv/TARIX2.DBF;TARIX2.DBF;9;DATAN;D;дата;8;0;
ARXIV/INVEN/inv/TARIXB.DBF;TARIXB.DBF;1;NOMKV;N;числовой;10;0;
ARXIV/INVEN/inv/TARIXB.DBF;TARIXB.DBF;2;DATAP;D;дата;8;0;
ARXIV/INVEN/inv/TARIXB.DBF;TARIXB.DBF;3;FIO;C;символьный;35;0;
ARXIV/INVEN/inv/TARIXB.DBF;TARIXB.DBF;4;DATAR;D;дата;8;0;
ARXIV/INVEN/inv/TARIXB.DBF;TARIXB.DBF;5;TARIXB;C;символьный;10;0;
ARXIV/INVEN/inv/TARIXB.DBF;TARIXB.DBF;6;NAZAR;N;числовой;1;0;
ARXIV/INVEN/inv/TARIXB.DBF;TARIXB.DBF;7;KIMN;C;символьный;15;0;
ARXIV/INVEN/inv/TARIXB.DBF;TARIXB.DBF;8;ASAS;C;символьный;10;0;
ARXIV/INVEN/inv/TARIXB.DBF;TARIXB.DBF;9;ALNOV;C;символьный;20;0;
ARXIV/INVEN/inv/TARIXB.DBF;TARIXB.DBF;10;DATAN;D;дата;8;0;
ARXIV/INVEN/inv/YENI.DBF;YENI.DBF;1;NOMKV;N;числовой;10;0;
ARXIV/INVEN/inv/YENI.DBF;YENI.DBF;2;KITAB;C;символьный;10;0;
ARXIV/INVEN/inv/YENI.DBF;YENI.DBF;3;SAHIFA;C;символьный;10;0;
ARXIV/INVEN/inv/YENI.DBF;YENI.DBF;4;RAYON;C;символьный;10;0;
ARXIV/INVEN/inv/YENI.DBF;YENI.DBF;5;DATA;D;дата;8;0;
ARXIV/INVEN/inv/YENI.DBF;YENI.DBF;6;TIPM;C;символьный;20;0;
ARXIV/INVEN/inv/YENI.DBF;YENI.DBF;7;QIYM;N;числовой;12;0;
ARXIV/INVEN/inv/YENI.DBF;YENI.DBF;8;ORDER;C;символьный;12;0;
ARXIV/INVEN/inv/YENI.DBF;YENI.DBF;9;SARAN;C;символьный;12;0;
ARXIV/INVEN/inv/YENI.DBF;YENI.DBF;10;FIO;C;символьный;35;0;
ARXIV/INVEN/inv/YENI.DBF;YENI.DBF;11;ADRES;C;символьный;45;0;
ARXIV/INVEN/inv/YENI.DBF;YENI.DBF;12;NAZAR;N;числовой;1;0;
ARXIV/INVEN/inv/YENI.DBF;YENI.DBF;13;OZAL;N;числовой;1;0;
ARXIV/INVEN/inv/YENI.DBF;YENI.DBF;14;ASASOZ;C;символьный;10;0;
ARXIV/INVEN/inv/YENI.DBF;YENI.DBF;15;DATAOZ;D;дата;8;0;
ARXIV/INVEN/inv/YENI.DBF;YENI.DBF;16;OTAG;N;числовой;2;0;
ARXIV/INVEN/inv/YENI.DBF;YENI.DBF;17;PLOS;N;числовой;7;2;
ARXIV/INVEN/inv/YENI.DBF;YENI.DBF;18;PLUM;N;числовой;7;2;
ARXIV/INVEN/inv/YENI.DBF;YENI.DBF;19;PLTR;N;числовой;8;2;
ARXIV/INVEN/inv/YENI.DBF;YENI.DBF;20;KIMN;C;символьный;15;0;
ARXIV/INVEN/inv/YENI.DBF;YENI.DBF;21;ASAS;C;символьный;10;0;
ARXIV/INVEN/inv/YENI.DBF;YENI.DBF;22;DATAN;D;дата;8;0;
ARXIV/INVEN/inv/YENI.DBF;YENI.DBF;23;IDAR;C;символьный;20;0;
ARXIV/INVEN/inv/YENI.DBF;YENI.DBF;24;DATAL;D;дата;8;0;
ARXIV/INVEN/inv/YENI.DBF;YENI.DBF;25;ALNOV;C;символьный;20;0;
ARXIV/INVEN/inv/YENI.DBF;YENI.DBF;26;DATAF;D;дата;8;0;
ARXIV/INVEN/inv/YENI.DBF;YENI.DBF;27;TEX1;N;числовой;2;0;
ARXIV/INVEN/inv/YENI.DBF;YENI.DBF;28;TEX2;N;числовой;6;0;
ARXIV/INVEN/inv/YENI.DBF;YENI.DBF;29;DATAT;D;дата;8;0;
ARXIV/INVEN/inv/YENI.DBF;YENI.DBF;30;DTIK;N;числовой;4;0;
ARXIV/INVEN/inv/_QSQL000.DBF;_QSQL000.DBF;1;NOMKV;N;числовой;10;0;
ARXIV/INVEN/inv/_QSQL000.DBF;_QSQL000.DBF;2;KITAB;C;символьный;10;0;
ARXIV/INVEN/inv/_QSQL000.DBF;_QSQL000.DBF;3;SAHIFA;C;символьный;10;0;
ARXIV/INVEN/inv/_QSQL000.DBF;_QSQL000.DBF;4;RAYON;C;символьный;10;0;
ARXIV/INVEN/inv/_QSQL000.DBF;_QSQL000.DBF;5;DATA;D;дата;8;0;
ARXIV/INVEN/inv/_QSQL000.DBF;_QSQL000.DBF;6;TIPM;C;символьный;20;0;
ARXIV/INVEN/inv/_QSQL000.DBF;_QSQL000.DBF;7;QIYM;N;числовой;12;0;
ARXIV/INVEN/inv/_QSQL000.DBF;_QSQL000.DBF;8;ORDER;C;символьный;12;0;
ARXIV/INVEN/inv/_QSQL000.DBF;_QSQL000.DBF;9;SARAN;C;символьный;12;0;
ARXIV/INVEN/inv/_QSQL000.DBF;_QSQL000.DBF;10;FIO;C;символьный;35;0;
ARXIV/INVEN/inv/_QSQL000.DBF;_QSQL000.DBF;11;ADRES;C;символьный;45;0;
ARXIV/INVEN/inv/_QSQL000.DBF;_QSQL000.DBF;12;NAZAR;N;числовой;4;0;
ARXIV/INVEN/inv/_QSQL000.DBF;_QSQL000.DBF;13;OZAL;N;числовой;4;0;
ARXIV/INVEN/inv/_QSQL000.DBF;_QSQL000.DBF;14;ASASOZ;C;символьный;10;0;
ARXIV/INVEN/inv/_QSQL000.DBF;_QSQL000.DBF;15;DATAOZ;D;дата;8;0;
ARXIV/INVEN/inv/_QSQL000.DBF;_QSQL000.DBF;16;OTAG;N;числовой;4;0;
ARXIV/INVEN/inv/_QSQL000.DBF;_QSQL000.DBF;17;PLOS;N;числовой;7;2;
ARXIV/INVEN/inv/_QSQL000.DBF;_QSQL000.DBF;18;PLUM;N;числовой;7;2;
ARXIV/INVEN/inv/_QSQL000.DBF;_QSQL000.DBF;19;PLTR;N;числовой;8;2;
ARXIV/INVEN/inv/_QSQL000.DBF;_QSQL000.DBF;20;KIMN;C;символьный;15;0;
ARXIV/INVEN/inv/_QSQL000.DBF;_QSQL000.DBF;21;ASAS;C;символьный;10;0;
ARXIV/INVEN/inv/_QSQL000.DBF;_QSQL000.DBF;22;DATAN;D;дата;8;0;
ARXIV/INVEN/inv/_QSQL000.DBF;_QSQL000.DBF;23;IDAR;C;символьный;20;0;
ARXIV/INVEN/inv/_QSQL000.DBF;_QSQL000.DBF;24;DATAL;D;дата;8;0;
ARXIV/INVEN/inv/_QSQL000.DBF;_QSQL000.DBF;25;ALNOV;C;символьный;20;0;
ARXIV/INVEN/inv/_QSQL000.DBF;_QSQL000.DBF;26;DATAF;D;дата;8;0;
ARXIV/INVEN/inv/_QSQL000.DBF;_QSQL000.DBF;27;TEX1;N;числовой;4;0;
ARXIV/INVEN/inv/_QSQL000.DBF;_QSQL000.DBF;28;TEX2;N;числовой;6;0;
ARXIV/INVEN/inv/_QSQL000.DBF;_QSQL000.DBF;29;DATAT;D;дата;8;0;
ARXIV/INVEN/inv/_QSQL000.DBF;_QSQL000.DBF;30;DTIK;N;числовой;4;0;
ARXIV/INVEN/inv/_QSQL149.DBF;_QSQL149.DBF;1;NOMKV;N;числовой;10;0;
ARXIV/INVEN/inv/_QSQL149.DBF;_QSQL149.DBF;2;KITAB;C;символьный;10;0;
ARXIV/INVEN/inv/_QSQL149.DBF;_QSQL149.DBF;3;SAHIFA;C;символьный;10;0;
ARXIV/INVEN/inv/_QSQL149.DBF;_QSQL149.DBF;4;RAYON;C;символьный;10;0;
ARXIV/INVEN/inv/_QSQL149.DBF;_QSQL149.DBF;5;DATA;D;дата;8;0;
ARXIV/INVEN/inv/_QSQL149.DBF;_QSQL149.DBF;6;TIPM;C;символьный;20;0;
ARXIV/INVEN/inv/_QSQL149.DBF;_QSQL149.DBF;7;QIYM;N;числовой;12;0;
ARXIV/INVEN/inv/_QSQL149.DBF;_QSQL149.DBF;8;ORDER;C;символьный;12;0;
ARXIV/INVEN/inv/_QSQL149.DBF;_QSQL149.DBF;9;SARAN;C;символьный;12;0;
ARXIV/INVEN/inv/_QSQL149.DBF;_QSQL149.DBF;10;FIO;C;символьный;35;0;
ARXIV/INVEN/inv/_QSQL149.DBF;_QSQL149.DBF;11;DATAR;D;дата;8;0;
ARXIV/INVEN/inv/_QSQL149.DBF;_QSQL149.DBF;12;ADRES;C;символьный;45;0;
ARXIV/INVEN/inv/_QSQL149.DBF;_QSQL149.DBF;13;NAZAR;N;числовой;4;0;
ARXIV/INVEN/inv/_QSQL149.DBF;_QSQL149.DBF;14;OZAL;N;числовой;4;0;
ARXIV/INVEN/inv/_QSQL149.DBF;_QSQL149.DBF;15;ASASOZ;C;символьный;10;0;
ARXIV/INVEN/inv/_QSQL149.DBF;_QSQL149.DBF;16;DATAOZ;D;дата;8;0;
ARXIV/INVEN/inv/_QSQL149.DBF;_QSQL149.DBF;17;OTAG;N;числовой;4;0;
ARXIV/INVEN/inv/_QSQL149.DBF;_QSQL149.DBF;18;PLOS;N;числовой;7;2;
ARXIV/INVEN/inv/_QSQL149.DBF;_QSQL149.DBF;19;PLUM;N;числовой;7;2;
ARXIV/INVEN/inv/_QSQL149.DBF;_QSQL149.DBF;20;PLTR;N;числовой;8;2;
ARXIV/INVEN/inv/_QSQL149.DBF;_QSQL149.DBF;21;KIMN;C;символьный;15;0;
ARXIV/INVEN/inv/_QSQL149.DBF;_QSQL149.DBF;22;ASAS;C;символьный;10;0;
ARXIV/INVEN/inv/_QSQL149.DBF;_QSQL149.DBF;23;DATAN;D;дата;8;0;
ARXIV/INVEN/inv/_QSQL149.DBF;_QSQL149.DBF;24;IDAR;C;символьный;20;0;
ARXIV/INVEN/inv/_QSQL149.DBF;_QSQL149.DBF;25;DATAL;D;дата;8;0;
ARXIV/INVEN/inv/_QSQL149.DBF;_QSQL149.DBF;26;ALNOV;C;символьный;20;0;
ARXIV/INVEN/inv/_QSQL149.DBF;_QSQL149.DBF;27;DATAF;D;дата;8;0;
ARXIV/INVEN/inv/_QSQL149.DBF;_QSQL149.DBF;28;TEX1;N;числовой;4;0;
ARXIV/INVEN/inv/_QSQL149.DBF;_QSQL149.DBF;29;TEX2;N;числовой;6;0;
ARXIV/INVEN/inv/_QSQL149.DBF;_QSQL149.DBF;30;DATAT;D;дата;8;0;
ARXIV/INVEN/inv/_QSQL149.DBF;_QSQL149.DBF;31;DTIK;N;числовой;4;0;
ARXIV/INVEN/inv/_QSQL189.DBF;_QSQL189.DBF;1;NOMKV;N;числовой;10;0;
ARXIV/INVEN/inv/_QSQL189.DBF;_QSQL189.DBF;2;KITAB;C;символьный;10;0;
ARXIV/INVEN/inv/_QSQL189.DBF;_QSQL189.DBF;3;SAHIFA;C;символьный;10;0;
ARXIV/INVEN/inv/_QSQL189.DBF;_QSQL189.DBF;4;RAYON;C;символьный;10;0;
ARXIV/INVEN/inv/_QSQL189.DBF;_QSQL189.DBF;5;DATA;D;дата;8;0;
ARXIV/INVEN/inv/_QSQL189.DBF;_QSQL189.DBF;6;TIPM;C;символьный;20;0;
ARXIV/INVEN/inv/_QSQL189.DBF;_QSQL189.DBF;7;QIYM;N;числовой;12;0;
ARXIV/INVEN/inv/_QSQL189.DBF;_QSQL189.DBF;8;ORDER;C;символьный;12;0;
ARXIV/INVEN/inv/_QSQL189.DBF;_QSQL189.DBF;9;SARAN;C;символьный;12;0;
ARXIV/INVEN/inv/_QSQL189.DBF;_QSQL189.DBF;10;FIO;C;символьный;35;0;
ARXIV/INVEN/inv/_QSQL189.DBF;_QSQL189.DBF;11;DATAR;D;дата;8;0;
ARXIV/INVEN/inv/_QSQL189.DBF;_QSQL189.DBF;12;ADRES;C;символьный;45;0;
ARXIV/INVEN/inv/_QSQL189.DBF;_QSQL189.DBF;13;NAZAR;N;числовой;4;0;
ARXIV/INVEN/inv/_QSQL189.DBF;_QSQL189.DBF;14;OZAL;N;числовой;4;0;
ARXIV/INVEN/inv/_QSQL189.DBF;_QSQL189.DBF;15;ASASOZ;C;символьный;10;0;
ARXIV/INVEN/inv/_QSQL189.DBF;_QSQL189.DBF;16;DATAOZ;D;дата;8;0;
ARXIV/INVEN/inv/_QSQL189.DBF;_QSQL189.DBF;17;OTAG;N;числовой;4;0;
ARXIV/INVEN/inv/_QSQL189.DBF;_QSQL189.DBF;18;PLOS;N;числовой;7;2;
ARXIV/INVEN/inv/_QSQL189.DBF;_QSQL189.DBF;19;PLUM;N;числовой;7;2;
ARXIV/INVEN/inv/_QSQL189.DBF;_QSQL189.DBF;20;PLTR;N;числовой;8;2;
ARXIV/INVEN/inv/_QSQL189.DBF;_QSQL189.DBF;21;KIMN;C;символьный;15;0;
ARXIV/INVEN/inv/_QSQL189.DBF;_QSQL189.DBF;22;ASAS;C;символьный;10;0;
ARXIV/INVEN/inv/_QSQL189.DBF;_QSQL189.DBF;23;DATAN;D;дата;8;0;
ARXIV/INVEN/inv/_QSQL189.DBF;_QSQL189.DBF;24;IDAR;C;символьный;20;0;
ARXIV/INVEN/inv/_QSQL189.DBF;_QSQL189.DBF;25;DATAL;D;дата;8;0;
ARXIV/INVEN/inv/_QSQL189.DBF;_QSQL189.DBF;26;ALNOV;C;символьный;20;0;
ARXIV/INVEN/inv/_QSQL189.DBF;_QSQL189.DBF;27;DATAF;D;дата;8;0;
ARXIV/INVEN/inv/_QSQL189.DBF;_QSQL189.DBF;28;TEX1;N;числовой;4;0;
ARXIV/INVEN/inv/_QSQL189.DBF;_QSQL189.DBF;29;TEX2;N;числовой;6;0;
ARXIV/INVEN/inv/_QSQL189.DBF;_QSQL189.DBF;30;DATAT;D;дата;8;0;
ARXIV/INVEN/inv/_QSQL189.DBF;_QSQL189.DBF;31;DTIK;N;числовой;4;0;
ARXIV/INVEN/inv/_QSQL383.DBF;_QSQL383.DBF;1;NOMKV;N;числовой;10;0;
ARXIV/INVEN/inv/_QSQL383.DBF;_QSQL383.DBF;2;KITAB;C;символьный;10;0;
ARXIV/INVEN/inv/_QSQL383.DBF;_QSQL383.DBF;3;SAHIFA;C;символьный;10;0;
ARXIV/INVEN/inv/_QSQL383.DBF;_QSQL383.DBF;4;KITABT;C;символьный;10;0;
ARXIV/INVEN/inv/_QSQL383.DBF;_QSQL383.DBF;5;SAHIFAT;C;символьный;10;0;
ARXIV/INVEN/inv/_QSQL383.DBF;_QSQL383.DBF;6;RAYON;C;символьный;10;0;
ARXIV/INVEN/inv/_QSQL383.DBF;_QSQL383.DBF;7;DATA;D;дата;8;0;
ARXIV/INVEN/inv/_QSQL383.DBF;_QSQL383.DBF;8;TIPM;C;символьный;20;0;
ARXIV/INVEN/inv/_QSQL383.DBF;_QSQL383.DBF;9;QIYM;N;числовой;12;0;
ARXIV/INVEN/inv/_QSQL383.DBF;_QSQL383.DBF;10;ORDER;C;символьный;12;0;
ARXIV/INVEN/inv/_QSQL383.DBF;_QSQL383.DBF;11;SARAN;C;символьный;12;0;
ARXIV/INVEN/inv/_QSQL383.DBF;_QSQL383.DBF;12;FIO;C;символьный;35;0;
ARXIV/INVEN/inv/_QSQL383.DBF;_QSQL383.DBF;13;DATAR;D;дата;8;0;
ARXIV/INVEN/inv/_QSQL383.DBF;_QSQL383.DBF;14;ADRES;C;символьный;45;0;
ARXIV/INVEN/inv/_QSQL383.DBF;_QSQL383.DBF;15;NAZAR;N;числовой;4;0;
ARXIV/INVEN/inv/_QSQL383.DBF;_QSQL383.DBF;16;OZAL;N;числовой;4;0;
ARXIV/INVEN/inv/_QSQL383.DBF;_QSQL383.DBF;17;ASASOZ;C;символьный;10;0;
ARXIV/INVEN/inv/_QSQL383.DBF;_QSQL383.DBF;18;DATAOZ;D;дата;8;0;
ARXIV/INVEN/inv/_QSQL383.DBF;_QSQL383.DBF;19;OTAG;N;числовой;4;0;
ARXIV/INVEN/inv/_QSQL383.DBF;_QSQL383.DBF;20;PLOS;N;числовой;7;2;
ARXIV/INVEN/inv/_QSQL383.DBF;_QSQL383.DBF;21;PLUM;N;числовой;7;2;
ARXIV/INVEN/inv/_QSQL383.DBF;_QSQL383.DBF;22;PLTR;N;числовой;8;2;
ARXIV/INVEN/inv/_QSQL383.DBF;_QSQL383.DBF;23;KIMN;C;символьный;15;0;
ARXIV/INVEN/inv/_QSQL383.DBF;_QSQL383.DBF;24;ASAS;C;символьный;10;0;
ARXIV/INVEN/inv/_QSQL383.DBF;_QSQL383.DBF;25;DATAN;D;дата;8;0;
ARXIV/INVEN/inv/_QSQL383.DBF;_QSQL383.DBF;26;IDAR;C;символьный;20;0;
ARXIV/INVEN/inv/_QSQL383.DBF;_QSQL383.DBF;27;DATAL;D;дата;8;0;
ARXIV/INVEN/inv/_QSQL383.DBF;_QSQL383.DBF;28;ALNOV;C;символьный;20;0;
ARXIV/INVEN/inv/_QSQL383.DBF;_QSQL383.DBF;29;DATAF;D;дата;8;0;
ARXIV/INVEN/inv/_QSQL383.DBF;_QSQL383.DBF;30;TEX1;N;числовой;4;0;
ARXIV/INVEN/inv/_QSQL383.DBF;_QSQL383.DBF;31;TEX2;N;числовой;6;0;
ARXIV/INVEN/inv/_QSQL383.DBF;_QSQL383.DBF;32;DATAT;D;дата;8;0;
ARXIV/INVEN/inv/_QSQL383.DBF;_QSQL383.DBF;33;DTIK;N;числовой;4;0;
ARXIV/INVEN/inv/_QSQL390.DBF;_QSQL390.DBF;1;NOMKV;N;числовой;10;0;
ARXIV/INVEN/inv/_QSQL390.DBF;_QSQL390.DBF;2;KITAB;C;символьный;10;0;
ARXIV/INVEN/inv/_QSQL390.DBF;_QSQL390.DBF;3;SAHIFA;C;символьный;10;0;
ARXIV/INVEN/inv/_QSQL390.DBF;_QSQL390.DBF;4;RAYON;C;символьный;10;0;
ARXIV/INVEN/inv/_QSQL390.DBF;_QSQL390.DBF;5;DATA;D;дата;8;0;
