Путь;Каталог;Имя файла;Расширение;Размер, байт;Изменён;Разбор;Формат по содержимому;Статус
ARXIV/Fərdi yaş və qarajlar/~$Fərdi yaş ev.SS.xlsx;ARXIV/Fərdi yaş və qarajlar;~$Fərdi yaş ev.SS.xlsx;.xlsx;165;2026-03-19 05:21:42;;;временный файл Excel (~$), пропущен
ARXIV/Fərdi yaş və qarajlar/~$Köhnə Texniki-pasportlar (qutuda olanlar).xlsx;ARXIV/Fərdi yaş və qarajlar;~$Köhnə Texniki-pasportlar (qutuda olanlar).xlsx;.xlsx;165;2020-10-30 05:14:18;;;временный файл Excel (~$), пропущен
ARXIV/Fərdi yaş və qarajlar/Əhmədli həy evi.xls;ARXIV/Fərdi yaş və qarajlar;Əhmədli həy evi.xls;.xls;169472;2026-05-19 06:09:59;Excel;xls (BIFF8);ok
ARXIV/Fərdi yaş və qarajlar/Ярлык для Maştağa həyət evi.lnk;ARXIV/Fərdi yaş və qarajlar;Ярлык для Maştağa həyət evi.lnk;.lnk;874;2017-01-10 12:05:07;;;ok
ARXIV/Fərdi yaş və qarajlar/Ярлык для Nizami-Keşlə həy evi.lnk;ARXIV/Fərdi yaş və qarajlar;Ярлык для Nizami-Keşlə həy evi.lnk;.lnk;894;2017-01-10 12:05:07;;;ok
ARXIV/Fərdi yaş və qarajlar/Ярлык для Nərimanov həyət evi.lnk;ARXIV/Fərdi yaş və qarajlar;Ярлык для Nərimanov həyət evi.lnk;.lnk;888;2017-01-10 12:05:07;;;ok
ARXIV/Fərdi yaş və qarajlar/Ярлык для Nəsimi həyət evi.lnk;ARXIV/Fərdi yaş və qarajlar;Ярлык для Nəsimi həyət evi.lnk;.lnk;866;2017-01-10 12:05:07;;;ok
ARXIV/Fərdi yaş və qarajlar/Ярлык для Səbayil  həy evi.lnk;ARXIV/Fərdi yaş və qarajlar;Ярлык для Səbayil  həy evi.lnk;.lnk;866;2017-01-10 12:05:07;;;ok
ARXIV/Fərdi yaş və qarajlar/Ярлык для Xətai həyət evleri.lnk;ARXIV/Fərdi yaş və qarajlar;Ярлык для Xətai həyət evleri.lnk;.lnk;880;2017-01-10 12:05:07;;;ok
ARXIV/INVEN/inv/ADRES.DBF;ARXIV/INVEN/inv;ADRES.DBF;.dbf;585;2026-07-30 08:17:26;DBF;Visual FoxPro;ok
ARXIV/INVEN/inv/ALTKEYB.DLL;ARXIV/INVEN/inv;ALTKEYB.DLL;.dll;5217;2026-07-30 08:17:27;;;ok
ARXIV/INVEN/inv/ARJ.EXE;ARXIV/INVEN/inv;ARJ.EXE;.exe;116272;2026-07-30 08:17:27;;;ok
ARXIV/INVEN/inv/ARXIV.DBF;ARXIV/INVEN/inv;ARXIV.DBF;.dbf;1064;2026-07-30 08:17:27;DBF;dBase IV с memo (.dbt);ok
ARXIV/INVEN/inv/AZTCB.TTF;ARXIV/INVEN/inv;AZTCB.TTF;.ttf;44188;2026-07-30 08:17:28;;;ok
ARXIV/INVEN/inv/AZTCBI.TTF;ARXIV/INVEN/inv;AZTCBI.TTF;.ttf;47220;2026-07-30 08:17:28;;;ok
ARXIV/INVEN/inv/AZTCN.TTF;ARXIV/INVEN/inv;AZTCN.TTF;.ttf;44536;2026-07-30 08:17:28;;;ok
ARXIV/INVEN/inv/AZTCNI.TTF;ARXIV/INVEN/inv;AZTCNI.TTF;.ttf;47676;2026-07-30 08:17:28;;;ok
ARXIV/INVEN/inv/AZTLB.TTF;ARXIV/INVEN/inv;AZTLB.TTF;.ttf;49940;2026-07-30 08:17:29;;;ok
ARXIV/INVEN/inv/AZTLBI.TTF;ARXIV/INVEN/inv;AZTLBI.TTF;.ttf;51000;2026-07-30 08:17:29;;;ok
ARXIV/INVEN/inv/AZTLI.TTF;ARXIV/INVEN/inv;AZTLI.TTF;.ttf;52068;2026-07-30 08:17:30;;;ok
ARXIV/INVEN/inv/AZTLN.TTF;ARXIV/INVEN/inv;AZTLN.TTF;.ttf;44844;2026-07-30 08:17:30;;;ok
ARXIV/INVEN/inv/AZ_DOS.KBD;ARXIV/INVEN/inv;AZ_DOS.KBD;.kbd;360;2026-07-30 08:17:30;;;ok
ARXIV/INVEN/inv/BANTAM.DLL;ARXIV/INVEN/inv;BANTAM.DLL;.dll;101376;2026-07-30 08:17:30;;;ok
ARXIV/INVEN/inv/BCB.A01;ARXIV/INVEN/inv;BCB.A01;.a01;169434;2026-07-30 08:17:31;;;ok
ARXIV/INVEN/inv/BCB.ARJ;ARXIV/INVEN/inv;BCB.ARJ;.arj;1212393;2026-07-30 08:17:32;;;ok
ARXIV/INVEN/inv/BCBSMP35.BPL;ARXIV/INVEN/inv;BCBSMP35.BPL;.bpl;187392;2026-07-30 08:17:32;;;ok
ARXIV/INVEN/inv/BDE32.CNT;ARXIV/INVEN/inv;BDE32.CNT;.cnt;20;2026-07-30 08:17:32;;;ok
ARXIV/INVEN/inv/BDE32.TOC;ARXIV/INVEN/inv;BDE32.TOC;.toc;6818;2026-07-30 08:17:32;;;ok
ARXIV/INVEN/inv/BDEADMIN.CNT;ARXIV/INVEN/inv;BDEADMIN.CNT;.cnt;23;2026-07-30 08:17:32;;;ok
ARXIV/INVEN/inv/BDEADMIN.TOC;ARXIV/INVEN/inv;BDEADMIN.TOC;.toc;2472;2026-07-30 08:17:32;;;ok
ARXIV/INVEN/inv/BDEDEP~1.TXT;ARXIV/INVEN/inv;BDEDEP~1.TXT;.txt;12393;2026-07-30 08:17:32;;;ok
ARXIV/INVEN/inv/BDEINST.CAB;ARXIV/INVEN/inv;BDEINST.CAB;.cab;3661561;2026-07-30 08:17:34;;;ok
ARXIV/INVEN/inv/BDEINST.TXT;ARXIV/INVEN/inv;BDEINST.TXT;.txt;1592;2026-07-30 08:17:34;;;ok
ARXIV/INVEN/inv/BDEREA~1.TXT;ARXIV/INVEN/inv;BDEREA~1.TXT;.txt;13159;2026-07-30 08:17:34;;;ok
ARXIV/INVEN/inv/BLW32.DLL;ARXIV/INVEN/inv;BLW32.DLL;.dll;45568;2026-07-30 08:17:34;;;ok
ARXIV/INVEN/inv/BORLNDMM.DLL;ARXIV/INVEN/inv;BORLNDMM.DLL;.dll;29952;2026-07-30 08:17:34;;;ok
ARXIV/INVEN/inv/CEEUROPE.BTL;ARXIV/INVEN/inv;CEEUROPE.BTL;.btl;122170;2026-07-30 08:17:35;;;ok
ARXIV/INVEN/inv/CHARSET.CVB;ARXIV/INVEN/inv;CHARSET.CVB;.cvb;144454;2026-07-30 08:17:35;;;ok
ARXIV/INVEN/inv/COP.BAT;ARXIV/INVEN/inv;COP.BAT;.bat;43;2026-07-30 08:17:36;;;ok
ARXIV/INVEN/inv/CP3240MT.DLL;ARXIV/INVEN/inv;CP3240MT.DLL;.dll;996872;2026-07-30 08:17:36;;;ok
ARXIV/INVEN/inv/CYRWIN.EXE;ARXIV/INVEN/inv;CYRWIN.EXE;.exe;45274;2026-07-30 08:17:36;;;ok
ARXIV/INVEN/inv/EUROPE.BTL;ARXIV/INVEN/inv;EUROPE.BTL;.btl;250896;2026-07-30 08:17:37;;;ok
ARXIV/INVEN/inv/FAREAST.BTL;ARXIV/INVEN/inv;FAREAST.BTL;.btl;517810;2026-07-30 08:17:37;;;ok
ARXIV/INVEN/inv/FIO.DBF;ARXIV/INVEN/inv;FIO.DBF;.dbf;397;2026-07-30 08:17:37;DBF;Visual FoxPro;ok
ARXIV/INVEN/inv/FIOARXIV.DBF;ARXIV/INVEN/inv;FIOARXIV.DBF;.dbf;700987;2026-07-30 08:17:38;DBF;Visual FoxPro;ok
ARXIV/INVEN/inv/FOXUSER.DBF;ARXIV/INVEN/inv;FOXUSER.DBF;.dbf;857;2026-07-30 08:17:38;DBF;Visual FoxPro;ok
ARXIV/INVEN/inv/FOXUSER.FPT;ARXIV/INVEN/inv;FOXUSER.FPT;.fpt;3072;2026-07-30 08:17:38;;;ok
ARXIV/INVEN/inv/IDAPI.CFG;ARXIV/INVEN/inv;IDAPI.CFG;.cfg;81;2026-07-30 08:17:38;;;ok
ARXIV/INVEN/inv/IDAPI32.DLL;ARXIV/INVEN/inv;IDAPI32.DLL;.dll;589312;2026-07-30 08:17:38;;;ok
ARXIV/INVEN/inv/IDASCI32.DLL;ARXIV/INVEN/inv;IDASCI32.DLL;.dll;116224;2026-07-30 08:17:39;;;ok
ARXIV/INVEN/inv/IDBAT32.DLL;ARXIV/INVEN/inv;IDBAT32.DLL;.dll;139264;2026-07-30 08:17:39;;;ok
ARXIV/INVEN/inv/IDDA3532.DLL;ARXIV/INVEN/inv;IDDA3532.DLL;.dll;601600;2026-07-30 08:17:40;;;ok
ARXIV/INVEN/inv/IDDAO32.DLL;ARXIV/INVEN/inv;IDDAO32.DLL;.dll;647168;2026-07-30 08:17:41;;;ok
ARXIV/INVEN/inv/IDDBAS32.DLL;ARXIV/INVEN/inv;IDDBAS32.DLL;.dll;454144;2026-07-30 08:17:42;;;ok
ARXIV/INVEN/inv/IDDR32.DLL;ARXIV/INVEN/inv;IDDR32.DLL;.dll;167936;2026-07-30 08:17:42;;;ok
ARXIV/INVEN/inv/IDODBC32.DLL;ARXIV/INVEN/inv;IDODBC32.DLL;.dll;432640;2026-07-30 08:17:42;;;ok
ARXIV/INVEN/inv/IDPDX32.DLL;ARXIV/INVEN/inv;IDPDX32.DLL;.dll;255488;2026-07-30 08:17:43;;;ok
ARXIV/INVEN/inv/IDQBE32.DLL;ARXIV/INVEN/inv;IDQBE32.DLL;.dll;422400;2026-07-30 08:17:43;;;ok
ARXIV/INVEN/inv/IDR20009.DLL;ARXIV/INVEN/inv;IDR20009.DLL;.dll;116736;2026-07-30 08:17:44;;;ok
ARXIV/INVEN/inv/IDSQL32.DLL;ARXIV/INVEN/inv;IDSQL32.DLL;.dll;464896;2026-07-30 08:17:44;;;ok
ARXIV/INVEN/inv/INDYENI.IDX;ARXIV/INVEN/inv;INDYENI.IDX;.idx;6403072;2026-07-30 08:17:48;;;ok
ARXIV/INVEN/inv/INV.ARJ;ARXIV/INVEN/inv;INV.ARJ;.arj;107939;2026-07-30 08:17:48;;;ok
ARXIV/INVEN/inv/INVEN.EXE;ARXIV/INVEN/inv;INVEN.EXE;.exe;505344;2026-07-30 08:17:48;;;ok
ARXIV/INVEN/inv/INVREAD.EXE;ARXIV/INVEN/inv;INVREAD.EXE;.exe;385536;2026-07-30 08:17:49;;;ok
ARXIV/INVEN/inv/JAPAN.BTL;ARXIV/INVEN/inv;JAPAN.BTL;.btl;880364;2026-07-30 08:17:51;;;ok
ARXIV/INVEN/inv/KONVER.EXE;ARXIV/INVEN/inv;KONVER.EXE;.exe;24964;2026-07-30 08:17:51;;;ok
ARXIV/INVEN/inv/LOCALSQL.CNT;ARXIV/INVEN/inv;LOCALSQL.CNT;.cnt;23;2026-07-30 08:17:51;;;ok
ARXIV/INVEN/inv/LOCALSQL.TOC;ARXIV/INVEN/inv;LOCALSQL.TOC;.toc;2766;2026-07-30 08:17:51;;;ok
ARXIV/INVEN/inv/MULK2.DBF;ARXIV/INVEN/inv;MULK2.DBF;.dbf;1385;2026-07-30 08:19:36;DBF;Visual FoxPro;ok
ARXIV/INVEN/inv/MULKB.DBF;ARXIV/INVEN/inv;MULKB.DBF;.dbf;1654;2026-07-30 08:19:37;DBF;dBase 7;ok
ARXIV/INVEN/inv/MULKB.MDX;ARXIV/INVEN/inv;MULKB.MDX;.mdx;7168;2026-07-30 08:19:37;;;ok
ARXIV/INVEN/inv/MULKN.DBF;ARXIV/INVEN/inv;MULKN.DBF;.dbf;1315;2026-07-30 08:19:38;DBF;Visual FoxPro;ok
ARXIV/INVEN/inv/NOV.DBF;ARXIV/INVEN/inv;NOV.DBF;.dbf;2772;2026-07-30 08:19:38;DBF;Visual FoxPro;ok
ARXIV/INVEN/inv/NTXD.EXE;ARXIV/INVEN/inv;NTXD.EXE;.exe;20830;2026-07-30 08:19:39;;;ok
ARXIV/INVEN/inv/NTXIST.EXE;ARXIV/INVEN/inv;NTXIST.EXE;.exe;20834;2026-07-30 08:19:40;;;ok
ARXIV/INVEN/inv/OTHER.BTL;ARXIV/INVEN/inv;OTHER.BTL;.btl;59950;2026-07-30 08:19:40;;;ok
ARXIV/INVEN/inv/QRPT35.BPL;ARXIV/INVEN/inv;QRPT35.BPL;.bpl;458184;2026-07-30 08:19:41;;;ok
ARXIV/INVEN/inv/RAYON.DBF;ARXIV/INVEN/inv;RAYON.DBF;.dbf;1560;2026-07-30 08:19:43;DBF;Visual FoxPro;ok
ARXIV/INVEN/inv/RavMonLog;ARXIV/INVEN/inv;RavMonLog;;5;2026-07-30 08:19:42;;;ok
ARXIV/INVEN/inv/SVADRES.DBF;ARXIV/INVEN/inv;SVADRES.DBF;.dbf;809;2026-07-30 08:19:43;DBF;Visual FoxPro;ok
ARXIV/INVEN/inv/TARIX2.DBF;ARXIV/INVEN/inv;TARIX2.DBF;.dbf;585;2026-07-30 08:20:12;DBF;Visual FoxPro;ok
ARXIV/INVEN/inv/TARIXB.DBF;ARXIV/INVEN/inv;TARIXB.DBF;.dbf;616;2026-07-30 08:20:13;DBF;Visual FoxPro;ok
ARXIV/INVEN/inv/USA.BTL;ARXIV/INVEN/inv;USA.BTL;.btl;36458;2026-07-30 08:21:06;;;ok
ARXIV/INVEN/inv/VCL35.BPL;ARXIV/INVEN/inv;VCL35.BPL;.bpl;1455736;2026-07-30 08:21:07;;;ok
ARXIV/INVEN/inv/VCLDB35.BPL;ARXIV/INVEN/inv;VCLDB35.BPL;.bpl;728880;2026-07-30 08:21:08;;;ok
ARXIV/INVEN/inv/VCLDBX35.BPL;ARXIV/INVEN/inv;VCLDBX35.BPL;.bpl;68936;2026-07-30 08:21:08;;;ok
ARXIV/INVEN/inv/VCLMID35.BPL;ARXIV/INVEN/inv;VCLMID35.BPL;.bpl;58872;2026-07-30 08:21:09;;;ok
ARXIV/INVEN/inv/VCLSMP35.BPL;ARXIV/INVEN/inv;VCLSMP35.BPL;.bpl;69272;2026-07-30 08:21:09;;;ok
ARXIV/INVEN/inv/VCLX35.BPL;ARXIV/INVEN/inv;VCLX35.BPL;.bpl;245912;2026-07-30 08:21:10;;;ok
ARXIV/INVEN/inv/VDM3.tmp;ARXIV/INVEN/inv;VDM3.tmp;.tmp;0;2026-07-30 08:21:11;;;ok
ARXIV/INVEN/inv/VFP.A01;ARXIV/INVEN/inv;VFP.A01;.a01;939155;2026-07-30 08:21:12;;;ok
ARXIV/INVEN/inv/VFP.ARJ;ARXIV/INVEN/inv;VFP.ARJ;.arj;1212364;2026-07-30 08:21:13;;;ok
ARXIV/INVEN/inv/VFP500.DLL;ARXIV/INVEN/inv;VFP500.DLL;.dll;3220752;2026-07-30 08:21:15;;;ok
ARXIV/INVEN/inv/VFP5ENU.DLL;ARXIV/INVEN/inv;VFP5ENU.DLL;.dll;770560;2026-07-30 08:21:17;;;ok
ARXIV/INVEN/inv/YENI.DBF;ARXIV/INVEN/inv;YENI.DBF;.dbf;5592453;2026-07-30 08:21:21;DBF;Visual FoxPro;ok
ARXIV/INVEN/inv/YENI.EXE;ARXIV/INVEN/inv;YENI.EXE;.exe;31779;2026-07-30 08:21:21;;;ok
ARXIV/INVEN/inv/YENI2.EXE;ARXIV/INVEN/inv;YENI2.EXE;.exe;30283;2026-07-30 08:21:21;;;ok
ARXIV/INVEN/inv/_QSQL000.DBF;ARXIV/INVEN/inv;_QSQL000.DBF;.dbf;994;2026-07-30 08:21:21;DBF;dBase III / FoxPro без memo;ok
ARXIV/INVEN/inv/_QSQL149.DBF;ARXIV/INVEN/inv;_QSQL149.DBF;.dbf;1026;2026-07-30 08:21:22;DBF;dBase III / FoxPro без memo;ok
ARXIV/INVEN/inv/_QSQL189.DBF;ARXIV/INVEN/inv;_QSQL189.DBF;.dbf;1026;2026-07-30 08:21:22;DBF;dBase III / FoxPro без memo;ok
ARXIV/INVEN/inv/_QSQL383.DBF;ARXIV/INVEN/inv;_QSQL383.DBF;.dbf;1090;2026-07-30 08:21:22;DBF;dBase III / FoxPro без memo;ok
ARXIV/INVEN/inv/_QSQL390.DBF;ARXIV/INVEN/inv;_QSQL390.DBF;.dbf;1026;2026-07-30 08:21:22;DBF;dBase III / FoxPro без memo;ok
ARXIV/INVEN/inv/_QSQL395.DBF;ARXIV/INVEN/inv;_QSQL395.DBF;.dbf;1026;2026-07-30 08:21:22;DBF;dBase III / FoxPro без memo;ok
ARXIV/INVEN/inv/_QSQL813.DBF;ARXIV/INVEN/inv;_QSQL813.DBF;.dbf;1090;2026-07-30 08:21:22;DBF;dBase III / FoxPro без memo;ok
ARXIV/INVEN/inv/_QSQL840.DBF;ARXIV/INVEN/inv;_QSQL840.DBF;.dbf;1026;2026-07-30 08:21:22;DBF;dBase III / FoxPro без memo;ok
ARXIV/INVEN/inv/_QSQL876.DBF;ARXIV/INVEN/inv;_QSQL876.DBF;.dbf;17402;2026-07-30 08:21:22;DBF;dBase III / FoxPro без memo;ok
ARXIV/INVEN/inv/_QSQL973.DBF;ARXIV/INVEN/inv;_QSQL973.DBF;.dbf;1026;2026-07-30 08:21:22;DBF;dBase III / FoxPro без memo;ok
ARXIV/INVEN/inv/__KYT982.DBF;ARXIV/INVEN/inv;__KYT982.DBF;.dbf;166;2026-07-30 08:21:23;DBF;dBase 7;ok
ARXIV/INVEN/inv/adres.CDX;ARXIV/INVEN/inv;adres.CDX;.cdx;3072;2026-07-30 08:17:26;;;ok
ARXIV/INVEN/inv/arxiv.DBT;ARXIV/INVEN/inv;arxiv.DBT;.dbt;46080;2026-07-30 08:17:27;;;ok
ARXIV/INVEN/inv/arxiv.MDX;ARXIV/INVEN/inv;arxiv.MDX;.mdx;4096;2026-07-30 08:17:28;;;ok
ARXIV/INVEN/inv/copiy COP.BAT;ARXIV/INVEN/inv;copiy COP.BAT;.bat;43;2026-07-30 08:17:36;;;ok
ARXIV/INVEN/inv/fioarxiv.CDX;ARXIV/INVEN/inv;fioarxiv.CDX;.cdx;610816;2026-07-30 08:17:37;;;ok
ARXIV/INVEN/inv/mulk.BAK;ARXIV/INVEN/inv;mulk.BAK;.bak;123701824;2026-07-30 08:18:46;DBF;Visual FoxPro;ok
ARXIV/INVEN/inv/mulk.CDX;ARXIV/INVEN/inv;mulk.CDX;.cdx;2020352;2026-07-30 08:18:48;;;ok
ARXIV/INVEN/inv/mulk.DBF;ARXIV/INVEN/inv;mulk.DBF;.dbf;130933827;2026-07-30 08:19:36;DBF;Visual FoxPro;ok
ARXIV/INVEN/inv/mulk2.CDX;ARXIV/INVEN/inv;mulk2.CDX;.cdx;4608;2026-07-30 08:19:36;;;ok
ARXIV/INVEN/inv/new.EXE;ARXIV/INVEN/inv;new.EXE;.exe;20722;2026-07-30 08:19:38;;;ok
ARXIV/INVEN/inv/new.rar;ARXIV/INVEN/inv;new.rar;.rar;10435;2026-07-30 08:19:38;;;ok
ARXIV/INVEN/inv/ntxd.BAK;ARXIV/INVEN/inv;ntxd.BAK;.bak;130;2026-07-30 08:19:39;;;ok
ARXIV/INVEN/inv/ntxd.FXP;ARXIV/INVEN/inv;ntxd.FXP;.fxp;356;2026-07-30 08:19:39;;;ok
ARXIV/INVEN/inv/ntxd.PRG;ARXIV/INVEN/inv;ntxd.PRG;.prg;138;2026-07-30 08:19:39;;;ok
ARXIV/INVEN/inv/svadres.CDX;ARXIV/INVEN/inv;svadres.CDX;.cdx;3072;2026-07-30 08:19:43;;;ok
ARXIV/INVEN/inv/tarix.BAK;ARXIV/INVEN/inv;tarix.BAK;.bak;43199148;2026-07-30 08:19:55;DBF;Visual FoxPro;ok
ARXIV/INVEN/inv/tarix.CDX;ARXIV/INVEN/inv;tarix.CDX;.cdx;2212864;2026-07-30 08:19:56;;;ok
ARXIV/INVEN/inv/tarix.DBF;ARXIV/INVEN/inv;tarix.DBF;.dbf;48678476;2026-07-30 08:20:12;DBF;Visual FoxPro;ok
ARXIV/INVEN/inv/tarix2.CDX;ARXIV/INVEN/inv;tarix2.CDX;.cdx;3072;2026-07-30 08:20:12;;;ok
ARXIV/INVEN/inv/ulk.DBF;ARXIV/INVEN/inv;ulk.DBF;.dbf;123778982;2026-07-30 08:21:05;DBF;Visual FoxPro;ok
ARXIV/INVEN/inv/Копия MULK2.CDX;ARXIV/INVEN/inv;Копия MULK2.CDX;.cdx;4608;2026-07-30 08:21:24;;;ok
ARXIV/INVEN/inv/Копия mulk.CDX;ARXIV/INVEN/inv;Копия mulk.CDX;.cdx;2227712;2026-07-30 08:21:24;;;ok
ARXIV/INVEN/inv/ARXIV/ADORTL60.BPL;ARXIV/INVEN/inv/ARXIV;ADORTL60.BPL;.bpl;148992;2026-07-30 08:21:24;;;ok
ARXIV/INVEN/inv/ARXIV/ARXIV.EXE;ARXIV/INVEN/inv/ARXIV;ARXIV.EXE;.exe;1836032;2026-07-30 08:21:29;;;ok
ARXIV/INVEN/inv/ARXIV/BANTAM.DLL;ARXIV/INVEN/inv/ARXIV;BANTAM.DLL;.dll;101376;2026-07-30 08:21:31;;;ok
ARXIV/INVEN/inv/ARXIV/BCBSMP60.BPL;ARXIV/INVEN/inv/ARXIV;BCBSMP60.BPL;.bpl;127488;2026-07-30 08:21:32;;;ok
ARXIV/INVEN/inv/ARXIV/BDE32.CNT;ARXIV/INVEN/inv/ARXIV;BDE32.CNT;.cnt;20;2026-07-30 08:21:33;;;ok
ARXIV/INVEN/inv/ARXIV/BDE32.TOC;ARXIV/INVEN/inv/ARXIV;BDE32.TOC;.toc;6818;2026-07-30 08:21:33;;;ok
