Путь;Имя файла;№ листа;Имя листа;Видимость;Тип листа;Строка заголовка;Диапазон;Кол-во колонок;Заголовки;Заголовок: статус;Ошибка
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;9;Mulkuyat;visible;worksheet;1;A1:K12467;9;Sıra №-si | Rayon | Şəhadətnamə verilir (Hüquqi şəxsi adı, fiziki şəxsin S.A.A.) | Obyekt | Ünvan | Şəhadətnamə | Qovluq | səhifə | ilkin mülkiyyətçi;найден;
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;10;Rayon-hamisi-auksion;visible;worksheet;1;A1:J11346;8;Sıra №-si | Rayon | Obyektin adı | Fiziki şəxsin adı | Ünvanı | Şəhadətnamə | Qovluq | səhifə;найден;
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;11;ozəl-ham;visible;worksheet;1;A1:T14817;19;Qeyd | m | Kr | KOT | Ş | Şəhad | Şəhadətnamənin tarixi | Müq. | Müq. | Müq.tarixi | F.İ.O. | Obyektin adı | 1 | 0.15 | Arayış n. | Qovluq | Qəbzin n. | Q.tarixi | Qovluq;найден;
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;12;deideik;visible;worksheet;1;A1:L180;11;Sıra №-si | Rayon | Əmlakın tərkibi (Obyektin adı) | Şəhadətnamə verilir (Fiziki şəxsin adı) | Əmlakın ümumi sahəsi | Tikinti altı torpaq sahəsi | Ümumi torpaq sahəsi | Ünvanı | Şəhadətnamə №-si | Qovluq | Səhifə;найден;
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;13;emdk;visible;worksheet;1;A1:I140;9;Sıra №-si | Rayon | Əmlakın tərkibi (Obyektin adı) | Müqavilə verilir (Fiziki şəxsin adı) | Əmlakın ümumi sahəsi | Ünvanı | Müqavilənin nömrəsi | Qovluq | Səhifə;найден;
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;14;auks-ərazi 2006-2009;visible;worksheet;1;A1:O461;12;Sıra №-si | Rayon | Əmlakın tərkibi (Obyektin adı) | Şəhadətnamə verilir (Fiziki şəxsin adı) | Əmlakın ümumi sahəsi | Tikinti altı torpaq sahəsi | Ümumi torpaq sahəsi | Ünvanı | Registr nömrəsi | Şəhadətnamə №-si | Qovluq | Səhifə;найден;
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;15;qarış 2006-2009;visible;worksheet;1;A1:I225;9;Sıra №-si | Rayon | Əmlakın tərkibi (Obyektin adı) | Şəhadətnamə verilir (Fiziki şəxsin adı) | Əmlakın ümumi sahəsi | Ünvanı | Şəhadətnamə №-si | Qovluq | Səhifə;найден;
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;16;emdk2;visible;worksheet;1;A1:L461;9;Sıra №-si | Rayon | Əmlakın tərkibi (Obyektin adı) | Müqavilə verilir (Fiziki şəxsin adı) | Əmlakın ümumi sahəsi | Ünvanı | Müqavilə №-si | Qovluq | Səhifə;найден;
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;17;mülk 2008-2009;visible;worksheet;1;A1:M773;11;Sıra №-si | Rayon | Obyektin adı-şəhadətnamə verilir | Əmlakın ümumi sahəsi | Tikinti altı torpaq sahəsi | Ümumi torpaq sahəsi | Ünvanı | Hansı yol ilə özəlləşib | Şəhadətnamə №-si | Qovluq | Səhifə;найден;
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;18;Icara-DEIEDK-EMDK;visible;worksheet;1;A1:M886;12;№ | Rayonun adı | Şəhadətnamə verilir | Əmlakın ümumi sahəsi | Tikinti altı torpaq sahəsi | Ümumi torpaq sahəsi | Ünvanı | Balanssaxlayıcı | Şəhadətnamə və müqavilənin №-si | Registr nömrəsi | Qovluq | Səhifə;найден;
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;19;Icara-EMDK;visible;worksheet;1;A1:I839;8;№ | Rayonun adı | Müqavilə (Şəhadətnamə) verilir | Əmlakın ümumi sahəsi | Ünvanı | Şəhadətnamə və Müqavilə №-si | Qovluq | Səhifə;найден;
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;20;torp 2008-2010;visible;worksheet;1;A1:L1139;8;Rayonun adı | Şəhadətnamə verilir | Obyektin adı | Torpaq sahəsi (kv.m.) | Ünvanı | Şəhadətnamə və ƏMDK-də müqavilələrin №-si | Qovluq | Səhifə;найден;
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;21;eidk;visible;worksheet;1;A1:L1139;10;eidk | Rayonun adı | Müqavilə verilir | Obyektin adı | Torpaq sahəsi (kv.m.) | Ünvanı | ƏMDK-də müqavilələrin №-si | Qovluq | Səhifə | ƏMDK;найден;
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;22;registr 2as;visible;worksheet;9;A1:O54;13;№ | müqavilənin nömrəsi | müqavilənin tarixi | alıcının adı | əmlakın adı | əmlakın ünvanı | torpaq sahəsi kv.m | əmlakın regist kodu | Alt hissənin kodu | rayon | Balans saxlayıcı təşkilatın kodu | Balans saxlayıcı (keçmiş balans saxlayıcı təşkilatın adı) | Baş idarə (keçmiş baş idarə);найден;
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;23;2 rüb;visible;worksheet;6;A1:S120;15;№ | müqavilənin tipi | müqavilənin nömrəsi | müqavilənin tarixi | alıcının adı | əmlakın adı | əmlakın ünvanı | sahə kv.m | mərtəbə | rayon | registr nömrəsi | alt hissənin nömrəsi | Balans saxlayıcı təşkilatın kodu | Balans saxlayıcı (keçmiş balans saxlayıcı təşkilatın adı) | Baş idarə (keçmiş baş idarə);найден;
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;24;1 rüb as;visible;worksheet;8;A1:O74;13;№ | müqavilənin nömrəsi | müqavilənin tarixi | alıcının adı | əmlakın adı | əmlakın ünvanı | torpaq sahəsi kv.m | əmlakın regist kodu | Alt hissənin kodu | rayon | Balans saxlayıcı təşkilatın kodu | Balans saxlayıcı (keçmiş balans saxlayıcı təşkilatın adı) | Baş idarə (keçmiş baş idarə);найден;
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;25;1 rüb;visible;worksheet;15;A1:P112;15;№ | müqavilənin tipi | müqavilənin nömrəsi | müqavilənin tarixi | alıcının adı | əmlakın adı | əmlakın ünvanı | sahə kv.m | mərtəbə | rayon | registr nömrəsi | alt hissənin nömrəsi | Balans saxlayıcı təşkilatın kodu | Balans saxlayıcı (keçmiş balans saxlayıcı təşkilatın adı) | Baş idarə (keçmiş baş idarə);найден;
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;26;abş;visible;worksheet;2;A1:Q1298;15;Ünvan | Ərizə | Tex Pasp | Qeydvəs | Arayışı | Əmrdən çıxarış | Müayinə aktı | Qərar. Çıxar. | Arayiş | Sərənc Çıxarış | Alqı-satqı müqav. | Digər sənəd. | Qiymətləndirmə Cədvəli | İnven. №-si | Qeyd №-si;найден;
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;27;buzovna;visible;worksheet;2;A1:Q1900;15;Ünvan | Ərizə | Tex Pasp | Qeydvəs | Arayışı | Əmrdən çıxarış | Müayinə aktı | Qərar. Çıxar. | Arayiş | Sərənc Çıxarış | Alqı-satqı müqav. | Digər sənəd. | Qiymətləndirmə Cədvəli | İnven. №-si | Qeyd №-si;найден;
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;28;zeyt tam;visible;worksheet;2;A1:Q1258;15;Ünvan | Ərizə | Tex Pasp | Qeydvəs | Arayışı | Əmrdən çıxarış | Müayinə aktı | Qərar. Çıxar. | Arayiş | Sərənc Çıxarış | Alqı-satqı müqav. | Digər sənəd. | Qiymətləndirmə Cədvəli | İnven. №-si | Qeyd №-si;найден;
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;29;sov üçün siy köhnə;visible;worksheet;2;A1:E5186;3;№ | Soyadı,adı,atasının adı | Reyestr nömrəsi;найден;
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;30;çixarış sov üçün siy;visible;worksheet;3;B2:G63;3;№ | Soyadı,Adı,Atasının adı | Reyestr nömrəsi;найден;
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;31;sov üçün siy;visible;worksheet;2;A1:E905;3;№ | Soyadı,adı,atasının adı | Reyestr nömrəsi;найден;
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;32;sabunçu;visible;worksheet;2;A1:T1004;16;Ərizə | Tex. Pasp. | Qeyd.vəs. | Müay. aktı | Sovx. Əriz. | Sovx. Arayışı | Əmrdən çıxarış | Qərar. Çıxar. | Sərənc Çıxarış | Order | Alqı-satqı müqav. | Vərəs. şəhad. | Digər sənəd. | İnven. N-si | Qeyd N-si | Qeyd;найден;
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;33;ramana;visible;worksheet;2;A1:R870;15;Ünvan | Ərizə | Texniki pasport | Qeyd.vəs. | Müayinə aktı | Sovx. Ərizəsi | Sovx. Arayışı | Əmrdən çıxarış | Qərardan çıxarış | Order | Alqı-satqı müqav. | Vərəsəlik şəhadət. | Digər sənədlər | İnventaN-si | Qeyd N-si;найден;
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;34;köhnə türkan;visible;worksheet;6;A1:S94;16;Ərizə | Tex. Pasp. | Qeyd.vəs. | Müay. aktı | Sovx. Əriz. | Sovx. Arayışı | Əmrdən çıxarış | Qərar. Çıxar. | Sərənc Çıxarış | Order | Alqı-satqı müqav. | Vərəs. şəhad. | Digər sənəd. | İnven. N-si | Qeyd N-si | Tor ve dair AKT;найден;
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;35;köhnə maşt;visible;worksheet;2;A1:S425;16;Ərizə | Tex. Pasp. | Qeyd.vəs. | Müay. aktı | Sovx. Əriz. | Sovx. Arayışı | Əmrdən çıxarış | Qərar. Çıxar. | Sərənc Çıxarış | Order | Alqı-satqı müqav. | Vərəs. şəhad. | Digər sənəd. | İnven. N-si | Qeyd N-si | Qeyd;найден;
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;36;köhnə kürdəx;visible;worksheet;2;A1:R191;16;Ərizə | Tex. Pasp. | Qeyd.vəs. | Müay. aktı | Sovx. Əriz. | Sovx. Arayışı | Əmrdən çıxarış | Qərar. Çıxar. | Sərənc Çıxarış | Order | Alqı-satqı müqav. | Vərəs. şəhad. | Digər sənəd. | İnven. N-si | Qeyd N-si | Qeyd;найден;
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;37;köhnə hövsan;visible;worksheet;2;A1:T348;18;Ərizə | Tex. Pasp. | Qeyd.vəs. | Müay. aktı | Sovx. Əriz. | Sovx. Arayışı | Əmrdən çıxarış | İstismara Qəbul Aktı | Qərar. Çıxar. | Sərənc Çıxarış | Order | Alqı-satqı müqav. | Vərəs. şəhad. | Digər sənəd. | Qiymətləndirmə Cədvəli | İnven. N-si | Qeyd N-si | Qeyd;найден;
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;38;köhnə binə;visible;worksheet;2;A1:P411;14;Ərizə | Texniki pasport | Qeyd.vəs. | Müayinə aktı | Sovx. Ərizəsi | Sovx. Arayışı | Əmrdən çıxarış | Qərardan çıxarış | Order | Alqı-satqı müqav. | Vərəsəlik şəhadət. | Digər sənədlər | İnventaN-si | Qeyd N-si;найден;
ARXIV/PROTOKOLLAR baza bağ.xls;PROTOKOLLAR baza bağ.xls;1;Лист1;visible;worksheet;2;A1:G246;7;Sıra nömrəsi | Soyadı, adı, ata adı | Ərazi | BTK | Orderin nömrəsi | Bağ nömrəsi | Qeyd (son235);найден;
ARXIV/PROTOKOLLAR baza bağ.xls;PROTOKOLLAR baza bağ.xls;2;Лист2;visible;worksheet;;A1;0;;лист пуст;
ARXIV/PROTOKOLLAR baza bağ.xls;PROTOKOLLAR baza bağ.xls;3;Лист3;visible;worksheet;;A1;0;;лист пуст;
ARXIV/Pasport ƏMDK-əsas.xls;Pasport ƏMDK-əsas.xls;1;Лист1;visible;worksheet;1;A1:M9739;9;Sıra nömrəsi | Ünvan | Mülkiyyətçi | Tabeçiliyində olduğu təşkilatın adı | Ümumi sahə kv | Əsas sahə kv | İnventar və tərtib edilmə tarixi | Qovluq nömrəsi | Qeyd;найден;
ARXIV/Pasport ƏMDK-əsas.xls;Pasport ƏMDK-əsas.xls;2;Лист2;visible;worksheet;;A1:C157;0;;не найден: в верхних строках только данные;
ARXIV/YOLDASHLIQ SIYAHISI.xls;YOLDASHLIQ SIYAHISI.xls;1;Лист3;visible;worksheet;2;A1:M2760;9;İdarə, müəssisə və yoldaşlığın adı | ` | Bağ massivinin adı | Üzvlərin sayı | Sıra sayı | Qərar | N | siyahı | ayrıc aktı;найден;
ARXIV/order.xlsx;order.xlsx;1;Диаграмма1;visible;chartsheet;;;0;;;
ARXIV/order.xlsx;order.xlsx;2;Лист1;visible;worksheet;2;A1:AJ219429;7;Sıra nömrəsi | Soyadı, adı, ata adı | Ərazi | BTK | Orderin nömrəsi | Bağ nömrəsi | Qeyd;найден;
ARXIV/order.xlsx;order.xlsx;3;Лист2;visible;worksheet;;A1;0;;лист пуст;
ARXIV/order.xlsx;order.xlsx;4;Лист3;visible;worksheet;;A1;0;;лист пуст;
ARXIV/Fərdi yaş və qarajlar/Balaxanı həy evi.xls;Balaxanı həy evi.xls;1;Sheet1;visible;worksheet;1;A1:I1134;7;Opis | Adı soy adı | Qəsəbə | Ünvan | ev № | Əlavə məlumat | Əlavə məlumat;найден;
ARXIV/Fərdi yaş və qarajlar/Balaxanı həy evi.xls;Balaxanı həy evi.xls;2;Sheet2;visible;worksheet;;A1;0;;лист пуст;
ARXIV/Fərdi yaş və qarajlar/Balaxanı həy evi.xls;Balaxanı həy evi.xls;3;Sheet3;visible;worksheet;;A1;0;;лист пуст;
ARXIV/Fərdi yaş və qarajlar/Bilqəh-Bakıx həy evi.xls;Bilqəh-Bakıx həy evi.xls;1;Bilgəh;visible;worksheet;1;A1:H1003;7;Opis | Adı soy adı | Qəsəbə | Ünvan | ev № | Əlavə məlumat | Əlavə məlumat;найден;
ARXIV/Fərdi yaş və qarajlar/Bilqəh-Bakıx həy evi.xls;Bilqəh-Bakıx həy evi.xls;2;Bakıxanov;visible;worksheet;2;A2:G830;7;Opis | Adı soy adı | Qəsəbə | Ünvan | ev № | Əlavə məlumat | Əlavə məlumat;найден;
ARXIV/Fərdi yaş və qarajlar/Bilqəh-Bakıx həy evi.xls;Bilqəh-Bakıx həy evi.xls;3;Bakıxanov ss;visible;worksheet;4;A2:G35;7;Opis | Adı soy adı | Qəsəbə | Ünvan | ev № | Əlavə məlumat | Əlavə məlumat;найден;
ARXIV/Fərdi yaş və qarajlar/Bülbülə həy evi.xls;Bülbülə həy evi.xls;1;Sheet1;visible;worksheet;1;A1:G1840;7;Opis | Adı soy adı | Qəsəbə | Ünvan | ev № | Əlavə məlumat | Əlavə məlumat;найден;
ARXIV/Fərdi yaş və qarajlar/Bülbülə həy evi.xls;Bülbülə həy evi.xls;2;Sheet2;visible;worksheet;;B1:S25;0;;лист пуст;
ARXIV/Fərdi yaş və qarajlar/Bülbülə həy evi.xls;Bülbülə həy evi.xls;3;Sheet3;visible;worksheet;;C14:F26;0;;лист пуст;
ARXIV/Fərdi yaş və qarajlar/Fərdi yaş ev.SS.xlsx;Fərdi yaş ev.SS.xlsx;1;Yasamal;visible;worksheet;4;A2:F303;6;№ | Ad və Soyad | Rayon | Küçə | ev № | əlavə;найден;
ARXIV/Fərdi yaş və qarajlar/Fərdi yaş ev.SS.xlsx;Fərdi yaş ev.SS.xlsx;2;Nəsimi;visible;worksheet;6;A3:F235;6;№ | Ad və Soyad | Rayon | Küçə | ev № | əlavə;найден;
ARXIV/Fərdi yaş və qarajlar/Fərdi yaş ev.SS.xlsx;Fərdi yaş ev.SS.xlsx;3;Nərimanov;visible;worksheet;6;A4:F488;6;№ | Ad və Soyad | Rayon | Küçə | ev № | əlavə;найден;
ARXIV/Fərdi yaş və qarajlar/Fərdi yaş ev.SS.xlsx;Fərdi yaş ev.SS.xlsx;4;Səbail;visible;worksheet;6;A3:F234;6;№ | Ad və Soyad | Rayon | Küçə | ev № | əlavə;найден;
ARXIV/Fərdi yaş və qarajlar/Fərdi yaş ev.SS.xlsx;Fərdi yaş ev.SS.xlsx;5;Nizami;visible;worksheet;5;A3:F289;6;№ | Ad və Soyad | Rayon | Küçə | ev № | əlavə;найден;
ARXIV/Fərdi yaş və qarajlar/Fərdi yaş ev.SS.xlsx;Fərdi yaş ev.SS.xlsx;6;Xətai;visible;worksheet;7;A4:F509;6;№ | Ad və Soyad | Rayon | Küçə | ev № | əlavə;найден;
ARXIV/Fərdi yaş və qarajlar/Fərdi yaş ev.SS.xlsx;Fərdi yaş ev.SS.xlsx;7;Əhmədli;visible;worksheet;7;A4:F384;6;№ | Ad və Soyad | Rayon | Küçə | ev № | əlavə;найден;
ARXIV/Fərdi yaş və qarajlar/Fərdi yaş ev.SS.xlsx;Fərdi yaş ev.SS.xlsx;8;Dmitrov;visible;worksheet;6;A4:H109;6;№ | Ad və Soyad | Rayon | Küçə | ev № | əlavə;найден;
ARXIV/Fərdi yaş və qarajlar/Hövsan həy evi.xls;Hövsan həy evi.xls;1;Sheet1;visible;worksheet;1;A1:G744;7;Opis | Adı soy adı | Qəsəbə | Ünvan | ev № | Əlavə məlumat | Əlavə məlumat;найден;
ARXIV/Fərdi yaş və qarajlar/Hövsan həy evi.xls;Hövsan həy evi.xls;2;Sheet2;visible;worksheet;;A1;0;;лист пуст;
ARXIV/Fərdi yaş və qarajlar/Hövsan həy evi.xls;Hövsan həy evi.xls;3;Sheet3;visible;worksheet;;A1;0;;лист пуст;
ARXIV/Fərdi yaş və qarajlar/Köhnə Texniki-pasportlar (qutuda olanlar).xlsx;Köhnə Texniki-pasportlar (qutuda olanlar).xlsx;1;Bilgəh;visible;worksheet;1;A1:G334;5;İnventar | T/p nöm | Ad.Soyad ata adı | Qəsəbə | Ünvan;найден;
ARXIV/Fərdi yaş və qarajlar/Köhnə Texniki-pasportlar (qutuda olanlar).xlsx;Köhnə Texniki-pasportlar (qutuda olanlar).xlsx;2;Balaxanı;visible;worksheet;1;A1:I1098;9;İnv | N t/p | Ad Soyad - Ata adı | Qəsəbə | Küçə adı | Ev | dal/dön | Məlumat | Əlavə;найден;
ARXIV/Fərdi yaş və qarajlar/Köhnə Texniki-pasportlar (qutuda olanlar).xlsx;Köhnə Texniki-pasportlar (qutuda olanlar).xlsx;3;Zabrat;visible;worksheet;1;A1:I599;9;İnv | N t/p | Ad Soyad - Ata adı | Qəsəbə | Küçə adı | Ev | dal/dön | Məlumat | Əlavə;найден;
ARXIV/Fərdi yaş və qarajlar/Köhnə Texniki-pasportlar (qutuda olanlar).xlsx;Köhnə Texniki-pasportlar (qutuda olanlar).xlsx;4;Maşdağa;visible;worksheet;1;A1:I1809;9;İnv | N t/p | Ad Soyad - Ata adı | Qəsəbə | Küçə adı | Ev | dal/dön | Məlumat | Əlavə;найден;
ARXIV/Fərdi yaş və qarajlar/Köhnə Texniki-pasportlar (qutuda olanlar).xlsx;Köhnə Texniki-pasportlar (qutuda olanlar).xlsx;5;Dimitrov.Jdanova.Əbilov.Puta;visible;worksheet;1;A1:G892;7;İnv | N t/p | Ad Soyad - Ata adı | Qəsəbə | Küçə adı | Ev | dal/dön;найден;
ARXIV/Fərdi yaş və qarajlar/Köhnə Texniki-pasportlar (qutuda olanlar).xlsx;Köhnə Texniki-pasportlar (qutuda olanlar).xlsx;6;Zirə;visible;worksheet;1;A1:H1315;8;İnv | N t/p | Ad Soyad - Ata adı | Qəsəbə | Küçə adı | Ev | dal/dön | Əlavə;найден;
ARXIV/Fərdi yaş və qarajlar/Köhnə Texniki-pasportlar (qutuda olanlar).xlsx;Köhnə Texniki-pasportlar (qutuda olanlar).xlsx;7;Pirşağı.;visible;worksheet;1;A1:H344;8;İnv | N t/p | Ad Soyad - Ata adı | Qəsəbə | Küçə adı | Ev | dal/dön | Əlavə;найден;
ARXIV/Fərdi yaş və qarajlar/Köhnə Texniki-pasportlar (qutuda olanlar).xlsx;Köhnə Texniki-pasportlar (qutuda olanlar).xlsx;8;Gürgan və b.qəsb;visible;worksheet;1;A1:H788;8;İnv | S/s | Ad Soyad - Ata adı | Qəsəbə | Küçə adı | Ev | dal/dön | Əlavə;найден;
ARXIV/Fərdi yaş və qarajlar/Köhnə Texniki-pasportlar (qutuda olanlar).xlsx;Köhnə Texniki-pasportlar (qutuda olanlar).xlsx;9;Binə;visible;worksheet;1;A1:H1365;8;İnv | S/s | Ad Soyad - Ata adı | Qəsəbə | Küçə adı | Ev | dal/dön | Əlavə;найден;
ARXIV/Fərdi yaş və qarajlar/Köhnə Texniki-pasportlar (qutuda olanlar).xlsx;Köhnə Texniki-pasportlar (qutuda olanlar).xlsx;10;Buzovna;visible;worksheet;1;A1:I731;6;k/səhifə | A.A.S | Rayon | sahə | ev | dongə;найден;
ARXIV/Fərdi yaş və qarajlar/Köhnə Texniki-pasportlar (qutuda olanlar).xlsx;Köhnə Texniki-pasportlar (qutuda olanlar).xlsx;11;Mərdəkan;visible;worksheet;1;A1:J967;8;k/səhifə | A.A.S | Rayon | Küçə | sahə | ev | dongə | dalan;найден;
ARXIV/Fərdi yaş və qarajlar/Köhnə Texniki-pasportlar (qutuda olanlar).xlsx;Köhnə Texniki-pasportlar (qutuda olanlar).xlsx;12;Səbail;visible;worksheet;1;A1:H2007;6;k/səhifə | A.A.S | Rayon | Küçə | ev | dongə;найден;
ARXIV/Fərdi yaş və qarajlar/Köhnə Texniki-pasportlar (qutuda olanlar).xlsx;Köhnə Texniki-pasportlar (qutuda olanlar).xlsx;13;Nərimanov;visible;worksheet;1;A1:H1692;6;k/səhifə | A.A.S | Rayon | Küçə | ev | dongə;найден;
ARXIV/Fərdi yaş və qarajlar/Köhnə Texniki-pasportlar (qutuda olanlar).xlsx;Köhnə Texniki-pasportlar (qutuda olanlar).xlsx;14;Nəsimi;visible;worksheet;1;A1:G1946;6;k/səhifə | A.A.S | Rayon | Küçə | ev | dongə;найден;
ARXIV/Fərdi yaş və qarajlar/Köhnə Texniki-pasportlar (qutuda olanlar).xlsx;Köhnə Texniki-pasportlar (qutuda olanlar).xlsx;15;Binəqədi;visible;worksheet;1;A1:G927;6;k/səhifə | A.A.S | Rayon | Küçə | ev | dongə;найден;
ARXIV/Fərdi yaş və qarajlar/Kürdaxanı həyət evi.xls;Kürdaxanı həyət evi.xls;1;Sheet1;visible;worksheet;1;A1:G611;7;Opis | Adı soy adı | Qəsəbə | Ünvan | ev № | Əlavə məlumat | Əlavə məlumat;найден;
ARXIV/Fərdi yaş və qarajlar/Kürdaxanı həyət evi.xls;Kürdaxanı həyət evi.xls;2;Sheet2;visible;worksheet;;A1;0;;лист пуст;
ARXIV/Fərdi yaş və qarajlar/Kürdaxanı həyət evi.xls;Kürdaxanı həyət evi.xls;3;Sheet3;visible;worksheet;;A1;0;;лист пуст;
ARXIV/Fərdi yaş və qarajlar/Mərdəkan, Şüvəlan həyət evi.xls;Mərdəkan, Şüvəlan həyət evi.xls;1;Mərdəkan;visible;worksheet;1;A1:I2804;7;Opis | Adı soy adı | Qəsəbə | Ünvan | ev № | Əlavə məlumat | Əlavə məlumat;найден;
