Путь;Имя файла;№ листа;Имя листа;Видимость;Строка заголовка;№ колонки;Буква колонки;Заголовок колонки
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;7;Rayon-sah-alava;visible;1;4;D;Fiziki şəxsin adı
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;7;Rayon-sah-alava;visible;1;5;E;Ünvanı
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;7;Rayon-sah-alava;visible;1;6;F;Şəhadətnamə №-si
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;7;Rayon-sah-alava;visible;1;7;G;Qovluq
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;7;Rayon-sah-alava;visible;1;8;H;Səhifə
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;8;avadanliqlar-arayis;visible;1;1;A;Sıra №-si
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;8;avadanliqlar-arayis;visible;1;2;B;Rayon
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;8;avadanliqlar-arayis;visible;1;3;C;Obyektin adı
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;8;avadanliqlar-arayis;visible;1;4;D;Fiziki şəxsin adı
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;8;avadanliqlar-arayis;visible;1;5;E;Ünvanı
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;8;avadanliqlar-arayis;visible;1;6;F;Arayışın №-si
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;8;avadanliqlar-arayis;visible;1;7;G;Qovluq
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;8;avadanliqlar-arayis;visible;1;8;H;Səhifə
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;9;Mulkuyat;visible;1;1;A;Sıra №-si
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;9;Mulkuyat;visible;1;2;B;Rayon
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;9;Mulkuyat;visible;1;3;C;Şəhadətnamə verilir (Hüquqi şəxsi adı, fiziki şəxsin S.A.A.)
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;9;Mulkuyat;visible;1;4;D;Obyekt
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;9;Mulkuyat;visible;1;5;E;Ünvan
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;9;Mulkuyat;visible;1;6;F;Şəhadətnamə
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;9;Mulkuyat;visible;1;7;G;Qovluq
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;9;Mulkuyat;visible;1;8;H;səhifə
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;9;Mulkuyat;visible;1;9;I;ilkin mülkiyyətçi
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;10;Rayon-hamisi-auksion;visible;1;1;A;Sıra №-si
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;10;Rayon-hamisi-auksion;visible;1;2;B;Rayon
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;10;Rayon-hamisi-auksion;visible;1;3;C;Obyektin adı
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;10;Rayon-hamisi-auksion;visible;1;4;D;Fiziki şəxsin adı
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;10;Rayon-hamisi-auksion;visible;1;5;E;Ünvanı
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;10;Rayon-hamisi-auksion;visible;1;6;F;Şəhadətnamə
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;10;Rayon-hamisi-auksion;visible;1;7;G;Qovluq
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;10;Rayon-hamisi-auksion;visible;1;8;H;səhifə
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;11;ozəl-ham;visible;1;1;A;Qeyd
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;11;ozəl-ham;visible;1;2;B;m
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;11;ozəl-ham;visible;1;3;C;Kr
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;11;ozəl-ham;visible;1;4;D;KOT
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;11;ozəl-ham;visible;1;5;E;Ş
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;11;ozəl-ham;visible;1;6;F;Şəhad
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;11;ozəl-ham;visible;1;7;G;Şəhadətnamənin tarixi
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;11;ozəl-ham;visible;1;8;H;Müq.
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;11;ozəl-ham;visible;1;9;I;Müq.
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;11;ozəl-ham;visible;1;10;J;Müq.tarixi
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;11;ozəl-ham;visible;1;11;K;F.İ.O.
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;11;ozəl-ham;visible;1;12;L;Obyektin adı
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;11;ozəl-ham;visible;1;13;M;1
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;11;ozəl-ham;visible;1;14;N;0.15
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;11;ozəl-ham;visible;1;15;O;Arayış n.
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;11;ozəl-ham;visible;1;16;P;Qovluq
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;11;ozəl-ham;visible;1;17;Q;Qəbzin n.
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;11;ozəl-ham;visible;1;18;R;Q.tarixi
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;11;ozəl-ham;visible;1;19;S;Qovluq
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;12;deideik;visible;1;1;A;Sıra №-si
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;12;deideik;visible;1;2;B;Rayon
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;12;deideik;visible;1;3;C;Əmlakın tərkibi (Obyektin adı)
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;12;deideik;visible;1;4;D;Şəhadətnamə verilir (Fiziki şəxsin adı)
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;12;deideik;visible;1;5;E;Əmlakın ümumi sahəsi
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;12;deideik;visible;1;6;F;Tikinti altı torpaq sahəsi
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;12;deideik;visible;1;7;G;Ümumi torpaq sahəsi
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;12;deideik;visible;1;8;H;Ünvanı
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;12;deideik;visible;1;9;I;Şəhadətnamə №-si
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;12;deideik;visible;1;10;J;Qovluq
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;12;deideik;visible;1;11;K;Səhifə
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;13;emdk;visible;1;1;A;Sıra №-si
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;13;emdk;visible;1;2;B;Rayon
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;13;emdk;visible;1;3;C;Əmlakın tərkibi (Obyektin adı)
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;13;emdk;visible;1;4;D;Müqavilə verilir (Fiziki şəxsin adı)
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;13;emdk;visible;1;5;E;Əmlakın ümumi sahəsi
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;13;emdk;visible;1;6;F;Ünvanı
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;13;emdk;visible;1;7;G;Müqavilənin nömrəsi
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;13;emdk;visible;1;8;H;Qovluq
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;13;emdk;visible;1;9;I;Səhifə
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;14;auks-ərazi 2006-2009;visible;1;1;A;Sıra №-si
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;14;auks-ərazi 2006-2009;visible;1;2;B;Rayon
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;14;auks-ərazi 2006-2009;visible;1;3;C;Əmlakın tərkibi (Obyektin adı)
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;14;auks-ərazi 2006-2009;visible;1;4;D;Şəhadətnamə verilir (Fiziki şəxsin adı)
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;14;auks-ərazi 2006-2009;visible;1;5;E;Əmlakın ümumi sahəsi
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;14;auks-ərazi 2006-2009;visible;1;6;F;Tikinti altı torpaq sahəsi
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;14;auks-ərazi 2006-2009;visible;1;7;G;Ümumi torpaq sahəsi
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;14;auks-ərazi 2006-2009;visible;1;8;H;Ünvanı
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;14;auks-ərazi 2006-2009;visible;1;9;I;Registr nömrəsi
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;14;auks-ərazi 2006-2009;visible;1;10;J;Şəhadətnamə №-si
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;14;auks-ərazi 2006-2009;visible;1;11;K;Qovluq
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;14;auks-ərazi 2006-2009;visible;1;12;L;Səhifə
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;15;qarış 2006-2009;visible;1;1;A;Sıra №-si
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;15;qarış 2006-2009;visible;1;2;B;Rayon
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;15;qarış 2006-2009;visible;1;3;C;Əmlakın tərkibi (Obyektin adı)
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;15;qarış 2006-2009;visible;1;4;D;Şəhadətnamə verilir (Fiziki şəxsin adı)
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;15;qarış 2006-2009;visible;1;5;E;Əmlakın ümumi sahəsi
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;15;qarış 2006-2009;visible;1;6;F;Ünvanı
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;15;qarış 2006-2009;visible;1;7;G;Şəhadətnamə №-si
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;15;qarış 2006-2009;visible;1;8;H;Qovluq
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;15;qarış 2006-2009;visible;1;9;I;Səhifə
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;16;emdk2;visible;1;1;A;Sıra №-si
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;16;emdk2;visible;1;2;B;Rayon
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;16;emdk2;visible;1;3;C;Əmlakın tərkibi (Obyektin adı)
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;16;emdk2;visible;1;4;D;Müqavilə verilir (Fiziki şəxsin adı)
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;16;emdk2;visible;1;5;E;Əmlakın ümumi sahəsi
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;16;emdk2;visible;1;6;F;Ünvanı
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;16;emdk2;visible;1;7;G;Müqavilə №-si
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;16;emdk2;visible;1;8;H;Qovluq
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;16;emdk2;visible;1;9;I;Səhifə
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;17;mülk 2008-2009;visible;1;1;A;Sıra №-si
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;17;mülk 2008-2009;visible;1;2;B;Rayon
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;17;mülk 2008-2009;visible;1;3;C;Obyektin adı-şəhadətnamə verilir
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;17;mülk 2008-2009;visible;1;4;D;Əmlakın ümumi sahəsi
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;17;mülk 2008-2009;visible;1;5;E;Tikinti altı torpaq sahəsi
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;17;mülk 2008-2009;visible;1;6;F;Ümumi torpaq sahəsi
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;17;mülk 2008-2009;visible;1;7;G;Ünvanı
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;17;mülk 2008-2009;visible;1;8;H;Hansı yol ilə özəlləşib
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;17;mülk 2008-2009;visible;1;9;I;Şəhadətnamə №-si
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;17;mülk 2008-2009;visible;1;10;J;Qovluq
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;17;mülk 2008-2009;visible;1;11;K;Səhifə
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;18;Icara-DEIEDK-EMDK;visible;1;1;A;№
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;18;Icara-DEIEDK-EMDK;visible;1;2;B;Rayonun adı
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;18;Icara-DEIEDK-EMDK;visible;1;3;C;Şəhadətnamə verilir
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;18;Icara-DEIEDK-EMDK;visible;1;4;D;Əmlakın ümumi sahəsi
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;18;Icara-DEIEDK-EMDK;visible;1;5;E;Tikinti altı torpaq sahəsi
ARXIV/Ozallasma-abş-reg- yeni.xls;Ozallasma-abş-reg- yeni.xls;18;Icara-DEIEDK-EMDK;visible;1;6;F;Ümumi torpaq sahəsi
